name,lng,lat
北京市,116.407387,39.904179
天津市,117.201509,39.085318
石家庄市,114.514976,38.042007
唐山市,118.180149,39.63068
秦皇岛市,119.52022,39.888243
邯郸市,114.53915,36.625849
邢台市,114.49742,37.060227
保定市,115.464523,38.874476
张家口市,114.885895,40.768931
承德市,117.962749,40.952942
沧州市,116.838715,38.304676
廊坊市,116.683546,39.538304
衡水市,115.668987,37.739367
太原市,112.549656,37.870451
大同市,113.366749,40.09711
阳泉市,113.580426,37.857094
长治市,113.117394,36.195142
晋城市,112.852022,35.491315
朔州市,112.432906,39.331734
晋中市,112.752633,37.688006
运城市,111.007051,35.02667
忻州市,112.734149,38.415958
临汾市,111.51931,36.088581
吕梁市,111.14454,37.518996
呼和浩特市,111.748814,40.842127
包头市,109.95315,40.621327
乌海市,106.79415,39.655048
赤峰市,118.887613,42.256876
通辽市,122.243309,43.653566
鄂尔多斯市,109.782473,39.608744
呼伦贝尔市,119.77845,49.166536
巴彦淖尔市,107.387767,40.742987
乌兰察布市,113.132227,40.994526
兴安盟,122.037796,46.082373
锡林郭勒盟,116.047387,43.933212
阿拉善盟,105.729135,38.851554
沈阳市,123.464675,41.677576
大连市,121.614786,38.913962
鞍山市,122.994183,41.108239
抚顺市,123.957053,41.881311
本溪市,123.684984,41.486834
丹东市,124.354419,40.000646
锦州市,121.126859,41.096114
营口市,122.219148,40.625027
阜新市,121.670052,42.022028
辽阳市,123.239669,41.267396
盘锦市,122.170729,40.71956
铁岭市,123.726008,42.223709
朝阳市,120.488801,41.601855
葫芦岛市,120.836783,40.710974
长春市,125.323643,43.816996
吉林市,126.549719,43.838132
四平市,124.350599,43.166764
辽源市,125.144676,42.887961
通化市,125.939721,41.728312
白山市,126.414274,41.944132
松原市,124.825321,45.14191
白城市,122.838102,45.620131
延边朝鲜族自治州,129.470605,42.909426
哈尔滨市,126.53505,45.802981
齐齐哈尔市,123.918193,47.354892
鸡西市,130.969385,45.295087
鹤岗市,130.297687,47.350659
双鸭山市,131.141563,46.676157
大庆市,125.104078,46.589498
伊春市,128.840863,47.728332
佳木斯市,130.318916,46.800002
七台河市,131.003015,45.771178
牡丹江市,129.632928,44.551486
黑河市,127.528226,50.244887
绥化市,126.968714,46.654147
大兴安岭地区,124.11786,50.41129
上海市,121.473667,31.230525
南京市,118.796624,32.059344
无锡市,120.311889,31.491064
徐州市,117.283752,34.204224
常州市,119.974092,31.811313
苏州市,120.585294,31.299758
南通市,120.894522,31.981269
连云港市,119.221487,34.596639
淮安市,119.113166,33.551495
盐城市,120.16263,33.348176
扬州市,119.412834,32.394404
镇江市,119.424441,32.188141
泰州市,119.922883,32.456692
宿迁市,118.275228,33.963186
杭州市,120.210792,30.246026
宁波市,121.62454,29.860258
温州市,120.699279,27.993849
嘉兴市,120.755623,30.746814
湖州市,120.086881,30.894178
绍兴市,120.582886,30.051549
金华市,119.647265,29.079195
衢州市,118.859307,28.970229
舟山市,122.207395,29.985578
台州市,121.42079,28.655716
丽水市,119.923249,28.467694
合肥市,117.227267,31.820567
芜湖市,118.433065,31.352614
蚌埠市,117.388566,32.91682
淮南市,117.018603,32.585384
马鞍山市,118.50685,31.668765
淮北市,116.798362,33.956264
铜陵市,117.811298,30.945214
安庆市,117.115349,30.531828
黄山市,118.337643,29.714886
滁州市,118.333439,32.255904
阜阳市,115.814252,32.891032
宿州市,116.96419,33.647726
六安市,116.519729,31.735892
亳州市,115.778588,33.846285
池州市,117.495663,30.674264
